Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Pachycnemia hippocastanaria,Geometridae,0,"x, E vor 1900",Schmalflügeliger Heidekrautspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Epione vespertaria,Geometridae,0,x vor 1900,Espen-Saumbandspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Pseudopanthera macularia,Geometridae,0,x vor 1955,Pantherspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Ennomos quercinaria,Geometridae,0,x 1986,Eichen-Zackenrandspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Arichanna melanaria,Geometridae,0,x 1961,Gefleckter Rauschbeerenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Fagivorina arenaria,Geometridae,0,x 1940,Scheckiger Rindenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Paradarisa consonaria,Geometridae,0,x vor 1955,Glattbindiger Rindenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Tephronia sepiaria,Geometridae,0,x 1920,Totholz-Flechtenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Charissa ambiguata,Geometridae,0,x vor 1950,Ungebänderter Steinspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Cleorodes lichenaria,Geometridae,0,x 1940,Grüner Flechten-Rindenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Perconia strigillaria,Geometridae,0,x 1940,Heide-Streifenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Chlorissa viridata,Geometridae,0,x 1940,Steppenheiden-Grünspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Notodonta torva,Notodontidae,0,x vor 1900 oder 1940,Gelbbrauner Zahnspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Drymonia obliterata,Notodontidae,0,x 1939,Schwarzeck-Zahnspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Nola aerugula,Nolidae,0,x,Laubholz-Graueulchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Laelia coenosa,Erebidae,0,x vor 1900,Gelbbein,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Gynaephora fascelina,Erebidae,0,x 1975,Ginster-Streckfuß,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Orgyia recens,Erebidae,0,x 1962,Eckfleck-Bürstenspinner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Epatolmis luctifera,Erebidae,0,x 1966,Kaiserbär,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Arctia festiva,Erebidae,0,x 1936,Englischer Bär,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Arctia villica,Erebidae,0,x 1960,Schwarzer  Bär,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Hyphoraia aulica,Erebidae,0,x vor 1858,Hofdame,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eilema lurideola,Erebidae,0,x 1979,Grauleib-Flechtenbärchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eilema palliatella,Erebidae,0,x vor 1900,Ockergelbes Flechtenbärchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Setina irrorella,Erebidae,0,x vor 1950?,Trockenrasen-Flechtenbärchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Dysauxes ancilla,Erebidae,0,x 1952,Grosses Braunwidderchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Idia calvaria,Erebidae,0,x 1975,Dunkelbraune Spannereule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Simplicia rectalis,Erebidae,0,x vor 1900,Schmalflügelige Spannereule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Zanclognatha lunalis,Erebidae,0,x 1958,Felsbuschwald-Spannereule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Lygephila viciae,Erebidae,0,x vor 1900,Marmorierte Wickeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Phytometra viridaria,Erebidae,0,x vor 1955,Kreuzblumen-Bunteulchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Catephia alchymista,Erebidae,0,x 1989,Weißes Ordensband,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
amprotes c-aureum,Noctuidae,0,x 1940,Wiesenrauten-Goldeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Acontia lucida,Noctuidae,0,x vor 1900,Malveneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
 strigosa,Noctuidae,0,x 1940,Striemen-Rindeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
 menyanthidis,Noctuidae,0,x 1940,Heidemoor-Rindeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Panemeria tenebrata,Noctuidae,0,x 1975,Hornkraut-Tageulchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Cucullia lactucae,Noctuidae,0,x vor 1900,Lattich-Mönch,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Cucullia asteris,Noctuidae,0,x vor 1900,Astern-Mönch,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Amphipyra livida,Noctuidae,0,x vor 1900,Tiefschwarze Glanzeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Periphanes delphinii,Noctuidae,0,x vor 1900,Rittersporn-Sonneneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Acosmetia caliginosa,Noctuidae,0,x vor 1942,Färberscharteneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Bryophila domestica,Noctuidae,0,x vor 1940,Weißliche Flechteneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Athetis pallustris,Noctuidae,0,x 1969,Wiesen-Staubeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Mormo maura,Noctuidae,0,x vor 1900,Schwarzes Ordensband,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Celaena haworthii,Noctuidae,0,x 1950,Haworths Mooreule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eremobia ochroleuca,Noctuidae,0,x vor 1942,Ockerfarbene Queckeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Amphipoea lucens,Noctuidae,0,x vor 1955,Moor-Stängeleule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Globia algae,Noctuidae,0,x 1954,Teichröhricht-Schilfeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Pabulatrix pabulatricula,Noctuidae,0,x vor 1900,Helle Pfeifengras-Grasbüscheleule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Hyppa rectilinea,Noctuidae,0,x 1974,Heidelbeer-Stricheule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Agrochola ruticilla,Noctuidae,0,x 1954,Graubraune Eichenbuscheule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Lithophane semibrunnea,Noctuidae,0,x 1953,Schmalflügelige Holzeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Lithophane lamda,Noctuidae,0,x vor 1900,Gagelstrauch-Moor-Holzeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Xylena solidaginis,Noctuidae,0,x 1965,Rollflügel-Holzeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Cosmia diffinis,Noctuidae,0,x 1969,Weißflecken-Ulmeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Dicycla oo,Noctuidae,0,x vor 1900,Eichen-Nulleneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Aporophyla nigra,Noctuidae,0,x vor 1900,Schwarze Glattrückeneule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Polymixis polymita,Noctuidae,0,x vor 1900,Olivbraune Steineule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Mniotype adusta,Noctuidae,0,x 1950,Rotbraune Waldrandeule,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
