Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Scapania curta,Scapaniaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Scapania irrigua,Scapaniaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Scorpidium scorpioides,Amblystegiaceae,0,1909,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum capillifolium,Sphagnaceae,0,1965,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum centrale,Sphagnaceae,0,1909,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum compactum,Sphagnaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum fuscum,Sphagnaceae,0,1910,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum obtusum,Sphagnaceae,0,vor 1960,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum papillosum,Sphagnaceae,0,1984,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum platyphyllum,Sphagnaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum riparium,Sphagnaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum rubellum,Sphagnaceae,0,vor 1960,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum subsecundum,Sphagnaceae,0,1909,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Sphagnum warnstorfii,Sphagnaceae,0,1909,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Splachnum ampullaceum,Splachnaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Thuidium delicatulum,Thuidiaceae,0,1965,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Thuidium recognitum,Thuidiaceae,0,vor 1910,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Tomentypnum nitens,Brachytheciaceae,0,vor 1960,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Tortula laevipila,Pottiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Trematodon ambiguus,Bruchiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Tritomaria exsectiformis,Lophoziaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Warnstorfia exannulata,Amblystegiaceae,0,1956,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Weissia controversa,Pottiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
